Javaバージョン	JEP URL	Title	Type	Component
9	https://openjdk.org/jeps/102	JEP 102: Process API Updates	Feature	core-libs / java.lang
9	https://openjdk.org/jeps/110	JEP 110: HTTP/2 Client (Incubator)	Feature	core-libs / java.net
9	https://openjdk.org/jeps/143	JEP 143: Improve Contended Locking	Feature	hotspot / runtime
9	https://openjdk.org/jeps/158	JEP 158: Unified JVM Logging	Feature	hotspot / svc
9	https://openjdk.org/jeps/165	JEP 165: Compiler Control	Feature	hotspot / compiler
9	https://openjdk.org/jeps/193	JEP 193: Variable Handles	Feature	core-libs / java.lang
9	https://openjdk.org/jeps/197	JEP 197: Segmented Code Cache	Feature	hotspot / compiler
9	https://openjdk.org/jeps/199	JEP 199: Smart Java Compilation, Phase Two	Feature	tools / javac
9	https://openjdk.org/jeps/200	JEP 200: The Modular JDK	Feature	-
9	https://openjdk.org/jeps/201	JEP 201: Modular Source Code	Feature	-
9	https://openjdk.org/jeps/211	JEP 211: Elide Deprecation Warnings on Import Statements	Feature	tools / javac
9	https://openjdk.org/jeps/212	JEP 212: Resolve Lint and Doclint Warnings	Feature	tools
9	https://openjdk.org/jeps/213	JEP 213: Milling Project Coin	Feature	tools / javac
9	https://openjdk.org/jeps/214	JEP 214: Remove GC Combinations Deprecated in JDK 8	Feature	hotspot / gc
9	https://openjdk.org/jeps/215	JEP 215: Tiered Attribution for javac	Feature	tools / javac
9	https://openjdk.org/jeps/216	JEP 216: Process Import Statements Correctly	Feature	tools / javac
9	https://openjdk.org/jeps/217	JEP 217: Annotations Pipeline 2.0	Feature	tools / javac
9	https://openjdk.org/jeps/219	JEP 219: Datagram Transport Layer Security (DTLS)	Feature	security-libs / javax.net.ssl
9	https://openjdk.org/jeps/220	JEP 220: Modular Run-Time Images	Feature	-
9	https://openjdk.org/jeps/221	JEP 221: New Doclet API	Feature	tools / javadoc(tool)
9	https://openjdk.org/jeps/222	JEP 222: jshell: The Java Shell (Read-Eval-Print Loop)	Feature	tools / jshell
9	https://openjdk.org/jeps/223	JEP 223: New Version-String Scheme	Feature	-
9	https://openjdk.org/jeps/224	JEP 224: HTML5 Javadoc	Feature	tools / javadoc(tool)
9	https://openjdk.org/jeps/225	JEP 225: Javadoc Search	Feature	tools / javadoc(tool)
9	https://openjdk.org/jeps/226	JEP 226: UTF-8 Property Resource Bundles	Feature	core-libs / java.util:i18n
9	https://openjdk.org/jeps/227	JEP 227: Unicode 7.0	Feature	core-libs / java.lang
9	https://openjdk.org/jeps/228	JEP 228: Add More Diagnostic Commands	Feature	hotspot / svc
9	https://openjdk.org/jeps/229	JEP 229: Create PKCS12 Keystores by Default	Feature	security-libs / java.security
9	https://openjdk.org/jeps/231	JEP 231: Remove Launch-Time JRE Version Selection	Feature	tools / launcher
9	https://openjdk.org/jeps/232	JEP 232: Improve Secure Application Performance	Feature	security-libs / java.security
9	https://openjdk.org/jeps/233	JEP 233: Generate Run-Time Compiler Tests Automatically	Feature	hotspot / compiler
9	https://openjdk.org/jeps/235	JEP 235: Test Class-File Attributes Generated by javac	Feature	tools / javac
9	https://openjdk.org/jeps/236	JEP 236: Parser API for Nashorn	Feature	core-libs / jdk.nashorn
9	https://openjdk.org/jeps/237	JEP 237: Linux/AArch64 Port	Feature	hotspot / compiler
9	https://openjdk.org/jeps/238	JEP 238: Multi-Release JAR Files	Feature	tools / jar
9	https://openjdk.org/jeps/240	JEP 240: Remove the JVM TI hprof Agent	Feature	core-svc / tools
9	https://openjdk.org/jeps/241	JEP 241: Remove the jhat Tool	Feature	core-svc / tools
9	https://openjdk.org/jeps/243	JEP 243: Java-Level JVM Compiler Interface	Feature	hotspot / compiler
9	https://openjdk.org/jeps/244	JEP 244: TLS Application-Layer Protocol Negotiation Extension	Feature	security-libs / javax.net.ssl
9	https://openjdk.org/jeps/245	JEP 245: Validate JVM Command-Line Flag Arguments	Feature	hotspot / runtime
9	https://openjdk.org/jeps/246	JEP 246: Leverage CPU Instructions for GHASH and RSA	Feature	security-libs / javax.crypto
9	https://openjdk.org/jeps/247	JEP 247: Compile for Older Platform Versions	Feature	tools / javac
9	https://openjdk.org/jeps/248	JEP 248: Make G1 the Default Garbage Collector	Feature	hotspot / gc
9	https://openjdk.org/jeps/249	JEP 249: OCSP Stapling for TLS	Feature	security-libs / javax.net.ssl
9	https://openjdk.org/jeps/250	JEP 250: Store Interned Strings in CDS Archives	Feature	hotspot / runtime
9	https://openjdk.org/jeps/251	JEP 251: Multi-Resolution Images	Feature	client-libs / 2d
9	https://openjdk.org/jeps/252	JEP 252: Use CLDR Locale Data by Default	Feature	core-libs / java.util:i18n
9	https://openjdk.org/jeps/253	JEP 253: Prepare JavaFX UI Controls & CSS APIs for Modularization	Feature	javafx / controls
9	https://openjdk.org/jeps/254	JEP 254: Compact Strings	Feature	core-libs / java.lang
9	https://openjdk.org/jeps/255	JEP 255: Merge Selected Xerces 2.11.0 Updates into JAXP	Feature	xml / jaxp
9	https://openjdk.org/jeps/256	JEP 256: BeanInfo Annotations	Feature	client-libs / java.beans
9	https://openjdk.org/jeps/257	JEP 257: Update JavaFX/Media to Newer Version of GStreamer	Feature	javafx / media
9	https://openjdk.org/jeps/258	JEP 258: HarfBuzz Font-Layout Engine	Feature	client-libs / 2d
9	https://openjdk.org/jeps/259	JEP 259: Stack-Walking API	Feature	core-libs
9	https://openjdk.org/jeps/260	JEP 260: Encapsulate Most Internal APIs	Feature	-
9	https://openjdk.org/jeps/261	JEP 261: Module System	Feature	-
